,lgX,eventId,eventStart,Teamid_0,Teamid_1,siX,btX,marketLineId,marketId,points,american_price,price,sourcePrice
135,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt2,-129,222163825,1513907,0.5,-129,-129.0
136,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt3,-132,222163829,1513915,7.5,-132,-132.0
137,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt1,119,222163821,1513925,,119,119.0
138,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt2,-110,222152879,1513907,-1.0,-110,1.88679
139,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt3,-110,222152881,1513915,-1.0,-110,1.81818
140,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt1,-110,222152876,1513925,,-110,2.35294
141,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt2,-154,222154054,1513907,1.5,-154,-154.0
142,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt3,-118,222154066,1513915,7.5,-118,-118.0
143,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt1,105,222154048,1513925,,105,105.0
144,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt2,-135,222152236,1513907,0.5,-135,1.74
145,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt3,-120,222152231,1513915,9.5,-120,1.83
146,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt2,-150,222151998,1513911,-6.5,-150,1.66666667
147,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt3,105,222152012,1513920,14.5,105,2.05
148,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt1,-1000,222152032,1513928,0.0,-1000,1.1
149,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt2,103,222163827,1513911,-0.5,103,103.0
150,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt3,-101,222163830,1513920,7.5,-101,-101.0
